transform,severity,held_out,accuracy,auc
clean,n/a,False,0.9914561664190193,0.9997476103058941
jpeg,90,False,0.9929420505200595,0.9997349079799326
jpeg,70,False,0.9903417533432393,0.999696248727006
jpeg,50,False,0.9888558692421991,0.9995139979632097
jpeg,30,False,0.9888558692421991,0.9992301285917208
gaussian_blur,0.5,False,0.9921991084695394,0.9997492671310195
gaussian_blur,1.0,False,0.9929420505200595,0.9997354602549743
gaussian_blur,2.0,False,0.9884843982169391,0.9995548663163034
resize,0.5,True,0.9918276374442794,0.9997045328526332
resize,0.25,True,0.986998514115899,0.9994549045337362
gaussian_noise,0.02,True,0.9550520059435365,0.9989738729723221
gaussian_noise,0.05,True,0.8948736998514116,0.9984508685077307
gaussian_noise,0.1,True,0.8298662704309064,0.9975694375410065
color_jitter,0.2,False,0.9921991084695394,0.9996415734978671
center_crop,0.8,False,0.9888558692421991,0.9996266620717382
STACKED:resize0.25_blur2.0_jpeg30,resize=0.25+gaussian_blur=2.0+jpeg=30,False,0.887444279346211,0.9975594965902539
STACKED:resize0.5_noise0.10_jpeg50,resize=0.5+gaussian_noise=0.1+jpeg=50,False,0.7150817236255572,0.9954608514313865
