transform,severity,held_out,accuracy,auc
STACKED:resize0.25_blur2.0_jpeg30,resize=0.25+gaussian_blur=2.0+jpeg=30,False,0.8551263001485884,0.9975594965902539
STACKED:resize0.5_noise0.10_jpeg50,resize=0.5+gaussian_noise=0.1+jpeg=50,False,0.6779346210995543,0.9961964817870737
center_crop,0.8,False,0.986998514115899,0.9996266620717382
clean,n/a,False,0.9921991084695394,0.9997476103058941
color_jitter,0.2,False,0.9918276374442794,0.9997166829035529
gaussian_blur,0.5,False,0.9925705794947994,0.9997492671310195
gaussian_blur,1.0,False,0.9929420505200595,0.9997354602549743
gaussian_blur,2.0,False,0.9877414561664191,0.9995548663163034
gaussian_noise,0.02,True,0.9416790490341753,0.9990191595257504
gaussian_noise,0.05,True,0.8681277860326895,0.9982073152142937
gaussian_noise,0.1,True,0.7834323922734027,0.9973938140777117
jpeg,30,False,0.9858841010401189,0.9992301285917208
jpeg,50,False,0.9892273402674592,0.9995139979632097
jpeg,70,False,0.9921991084695394,0.999696248727006
jpeg,90,False,0.9914561664190193,0.9997349079799326
resize,0.25,True,0.9851411589895989,0.9994549045337362
resize,0.5,True,0.9910846953937593,0.9997045328526332
